"thing_name","timestamp","gateState","lastSpeedDetected","speedLimit","vehiclePassed"
"RompeMuellesIoT","1750831809265","close","15","200","null"
"RompeMuellesIoT","1750831811245","close","27","200","null"
"RompeMuellesIoT","1750831821032","close","21","200","null"
"RompeMuellesIoT","1750831822919","close","20","200","null"
"RompeMuellesIoT","1750831825739","close","41","200","null"
"RompeMuellesIoT","1750832032783","close","27","20","null"
"RompeMuellesIoT","1750832050984","close","25","20","null"
"RompeMuellesIoT","1750832057192","close","24","20","null"
"RompeMuellesIoT","1750832059953","close","27","20","null"
"RompeMuellesIoT","1750832068460","open","41","20","null"
"RompeMuellesIoT","1750832074646","open","31","20","null"
"RompeMuellesIoT","1750832081895","open","23","20","null"
"RompeMuellesIoT","1750834582243","close","120","20","null"
"RompeMuellesIoT","1750834623039","close","35","20","null"
"RompeMuellesIoT","1750834691690","open","37","20","null"
"RompeMuellesIoT","1750834696802","open","24","20","null"
"RompeMuellesIoT","1750834699696","open","25","20","null"
"RompeMuellesIoT","1750834702906","open","44","20","null"
"RompeMuellesIoT","1750834769728","open","41","20","null"
"RompeMuellesIoT","1750834774246","open","49","20","null"
"RompeMuellesIoT","1750834783311","open","24","20","null"
"RompeMuellesIoT","1750835151479","close","22","20","null"
"RompeMuellesIoT","1750835157553","close","23","20","null"
"RompeMuellesIoT","1750835167317","open","68","20","null"
"RompeMuellesIoT","1750835173404","open","49","20","null"
"RompeMuellesIoT","1750835179245","open","61","20","null"
"RompeMuellesIoT","1750835836347","close","53","20","null"
"RompeMuellesIoT","1750835838478","close","24","20","null"
"RompeMuellesIoT","1750835845426","open","35","20","null"
"RompeMuellesIoT","1750835851648","open","41","20","null"
"RompeMuellesIoT","1750835912964","close","49","20","null"
"RompeMuellesIoT","1750835921283","close","61","20","null"
"RompeMuellesIoT","1750835926471","close","81","20","null"
"RompeMuellesIoT","1750835934618","open","30","20","null"
"RompeMuellesIoT","1750835940968","open","81","20","null"
"RompeMuellesIoT","1750835947568","open","49","20","null"
"RompeMuellesIoT","1750835961951","open","35","20","null"
"RompeMuellesIoT","1750835964882","open","49","20","null"
"RompeMuellesIoT","1750835968763","open","53","20","null"
"RompeMuellesIoT","1750838398725","close","38","20","null"
"RompeMuellesIoT","1750838409252","open","69","20","null"
"RompeMuellesIoT","1750838419450","open","80","20","null"
"RompeMuellesIoT","1750838422533","open","29","20","null"
"RompeMuellesIoT","1750838501878","open","69","20","null"
"RompeMuellesIoT","1750838521739","open","40","20","null"
"RompeMuellesIoT","1750838711241","close","48","20","null"
"RompeMuellesIoT","1750838720728","open","33","20","null"
"RompeMuellesIoT","1750838747939","open","38","20","null"
"RompeMuellesIoT","1750838760314","open","20","20","null"
"RompeMuellesIoT","1750839437731","close","27","20","null"
"RompeMuellesIoT","1750839445687","open","43","20","null"
"RompeMuellesIoT","1750839468744","open","20","20","null"
"RompeMuellesIoT","1750839627128","close","69","20","null"
"RompeMuellesIoT","1750839635815","open","27","20","null"
"RompeMuellesIoT","1750839656988","open","59","20","null"
"RompeMuellesIoT","1750839662633","open","28","20","null"
"RompeMuellesIoT","1750839730850","close","60","20","null"
"RompeMuellesIoT","1750839739852","open","27","20","null"
"RompeMuellesIoT","1750840264197","close","97","20","null"
"RompeMuellesIoT","1750840274012","open","38","20","null"
"RompeMuellesIoT","1750840285363","open","44","20","null"
"RompeMuellesIoT","1750840313493","open","40","20","null"
"RompeMuellesIoT","1750840325744","open","54","20","null"
"RompeMuellesIoT","1750840336299","open","38","20","null"
"RompeMuellesIoT","1750840343371","open","33","20","null"
